Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0ABX7QYZ1	unreviewed	A0ABX7QYZ1_9GAMM	RNA-directed DNA polymerase	JYB85_15880	Shewanella sedimentimangrovi	667
A0ABX8DKZ9	unreviewed	A0ABX8DKZ9_9PSED	RNA-directed DNA polymerase	KH389_14855	Pseudomonas qingdaonensis	651
A0ABX9DUQ0	unreviewed	A0ABX9DUQ0_9BACT	Reverse transcriptase (RNA-dependent DNA polymerase)	BC673_10396	Prevotella pallens	638
A0ABY0K5W0	unreviewed	A0ABY0K5W0_9HYPH	Reverse transcriptase domain-containing protein	GA0071312_0772	Saliniramus fredricksonii	496
A0ABY0PJY6	unreviewed	A0ABY0PJY6_9BRAD	Reverse transcriptase (RNA-dependent DNA polymerase)	SAMN05444163_3098	Bradyrhizobium ottawaense	650
A0ABY3TC48	unreviewed	A0ABY3TC48_9MICO	RNA-directed DNA polymerase	KYT88_13840	Clavibacter seminis	648
A0ABY3X2L0	unreviewed	A0ABY3X2L0_9GAMM	RNA-directed DNA polymerase	MMG00_04545	Ignatzschineria rhizosphaerae	677
A0ABY5IRZ5	unreviewed	A0ABY5IRZ5_9FLAO	Reverse transcriptase domain-containing protein	NOX80_13035	Flavobacterium cerinum	765
A0ABY6MLQ7	unreviewed	A0ABY6MLQ7_9BACT	RNA-directed DNA polymerase	OM944_08810	Algoriphagus halophytocola	653
A0ABY7NKL1	unreviewed	A0ABY7NKL1_9SPHN	RNA-directed DNA polymerase	PBT88_16660	Sphingomonas abietis	670
A0ABY8PEW6	unreviewed	A0ABY8PEW6_9PSED	RNA-directed DNA polymerase	QCD61_01395	Pseudomonas viciae	643
A0ABY9NFG9	unreviewed	A0ABY9NFG9_9PSED	Antiviral reverse transcriptase Drt3b	drt3b QL104_25225	Pseudomonas piscis	682
A0ABZ0ERP3	unreviewed	A0ABZ0ERP3_9BURK	Antiviral reverse transcriptase Drt3b	drt3b RW095_24555	Paraburkholderia kirstenboschensis	451
A0ABZ0XZY2	unreviewed	A0ABZ0XZY2_9BURK	Antiviral reverse transcriptase Drt3b	drt3b SR858_03095	Duganella zoogloeoides	695
A0ABZ0YGE0	unreviewed	A0ABZ0YGE0_9GAMM	Antiviral reverse transcriptase Drt3b	drt3b SR894_13520	Vreelandella neptunia	691
A0ABZ1CED4	unreviewed	A0ABZ1CED4_9BACT	Antiviral reverse transcriptase Drt3b	drt3b K1X11_011285	Actomonas aquatica	643
A0ABZ2BWU0	unreviewed	A0ABZ2BWU0_9RHOB	Reverse transcriptase domain-containing protein	ROLI_030150	Roseobacter fucihabitans	505
A0ABZ2HZW2	unreviewed	A0ABZ2HZW2_9HYPH	Antiviral reverse transcriptase Drt3b	drt3b V6617_16845	Pelagibacterium nitratireducens	690
A0ABZ3DD73	unreviewed	A0ABZ3DD73_9BURK	RNA-directed DNA polymerase	OHZ10_11750	Burkholderia arboris	657
A0ACC6D9A5	unreviewed	A0ACC6D9A5_9BACT	RNA-directed DNA polymerase	PQG99_19365	Parabacteroides johnsonii	747
A6WYG8	unreviewed	A6WYG8_BRUA4	Reverse transcriptase domain-containing protein	Oant_1305	Brucella anthropi (strain ATCC 49188 / DSM 6882 / CCUG 24695 / JCM 21032 / LMG 3331 / NBRC 15819 / NCTC 12168 / Alc 37) (Ochrobactrum anthropi)	673
A7ZQH1	unreviewed	A7ZQH1_ECO24	Conserved domain protein	EcE24377A_3026	Escherichia coli O139:H28 (strain E24377A / ETEC)	672
B2VC03	unreviewed	B2VC03_ERWT9	Probable RNA-directed DNA polymerase (Reverse transcriptase)	ETA_22150	Erwinia tasmaniensis (strain DSM 17950 / CFBP 7177 / CIP 109463 / NCPPB 4357 / Et1/99)	669
E0NRI9	unreviewed	E0NRI9_9BACT	Reverse transcriptase domain-containing protein	HMPREF0658_0790	Hoylesella marshii DSM 16973 = JCM 13450	729
E0SK18	unreviewed	E0SK18_DICD3	Phage abortive infection protein (EC 2.7.7.49)	Dda3937_02706	Dickeya dadantii (strain 3937) (Erwinia chrysanthemi (strain 3937))	680
F0F4L1	unreviewed	F0F4L1_9BACT	Reverse transcriptase domain-containing protein	HMPREF9141_0527	Prevotella multiformis DSM 16608	669
F0H8M8	unreviewed	F0H8M8_9BACT	Reverse transcriptase domain-containing protein	HMPREF9303_2357	Prevotella denticola CRIS 18C-A	341
G2E3Z6	unreviewed	G2E3Z6_9GAMM	Reverse transcriptase domain-containing protein	ThidrDRAFT_3009	Thiorhodococcus drewsii AZ1	648
H9UHW0	unreviewed	H9UHW0_SPIAZ	Reverse transcriptase (RNA-dependent DNA polymerase)	Spiaf_1016	Spirochaeta africana (strain ATCC 700263 / DSM 8902 / Z-7692)	708
I1YIE3	unreviewed	I1YIE3_METFJ	Reverse transcriptase (RNA-dependent DNA polymerase)	Q7C_1537	Methylophaga frappieri (strain ATCC BAA-2434 / DSM 25690 / JAM7)	689
I4AFL7	unreviewed	I4AFL7_BERLS	Reverse transcriptase (RNA-dependent DNA polymerase)	Fleli_0263	Bernardetia litoralis (strain ATCC 23117 / DSM 6794 / NBRC 15988 / NCIMB 1366 / Fx l1 / Sio-4) (Flexibacter litoralis)	773
M9R4K6	unreviewed	M9R4K6_9RHOB	Reverse transcriptase domain-containing protein	OAN307_c18920	Octadecabacter antarcticus 307	644
Q166P3	unreviewed	Q166P3_ROSDO	Reverse transcriptase domain-containing protein	RD1_2490	Roseobacter denitrificans (strain ATCC 33942 / OCh 114) (Erythrobacter sp. (strain OCh 114)) (Roseobacter denitrificans)	645
Q63XF5	unreviewed	Q63XF5_BURPS	Reverse transcriptase domain-containing protein	BPSL0582	Burkholderia pseudomallei (strain K96243)	690
Q6D8B7	unreviewed	Q6D8B7_PECAS	Reverse transcriptase domain-containing protein	ECA1057	Pectobacterium atrosepticum (strain SCRI 1043 / ATCC BAA-672) (Erwinia carotovora subsp. atroseptica)	669
S0F461	unreviewed	S0F461_9BACT	Reverse transcriptase domain-containing protein	BACCOPRO_00140	Phocaeicola coprophilus DSM 18228 = JCM 13818	611
U2HPD3	unreviewed	U2HPD3_9SPHI	Reverse transcriptase domain-containing protein	M472_00050	Sphingobacterium paucimobilis HER1398	682
V4PMF0	unreviewed	V4PMF0_9CAUL	Reverse transcriptase domain-containing protein	ABENE_18130	Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896	693
