defense_uniprot_ac	human_uniprot_ac	composite_score	foldseek_evalue	pymol_rmsd	tm_score_human	tm_score_bacteria	plddt_human	plddt_bacteria	human_gene_name
A0A0J8XNY7	R4GNH3	0.9107	0.0	1.69	0.5746	0.6283	81.13	83.54	PSMC3
A0A250IWT1	Q86VZ2	0.9106	7.09e-22	1.03	0.8534	0.3844	93.08	53.22	WDR5B
A0A2H4ZHC4	Q9UN37	0.9106	4.345e-17	1.85	0.5372	0.7642	85.69	90.93	VPS4A
A0A2T4MZ46	Q5T9A4	0.9106	7.008e-22	1.43	0.3568	0.733	76.81	90.76	ATAD3B
A0A2T4MZ46	Q9H834	0.9106	5.953e-21	1.6	0.4706	0.7279	76.16	90.76	
A0A7G9WGN0	B3KQ43	0.9105	8.769e-24	1.13	0.678	0.2815	81.56	84.32	
A0A3E3EC96	A0A1X7SBZ2	0.9105	2.541e-29	1.25	0.4891	0.6589	68.7	85.92	DDX17
A0A448L463	Q5FBZ5	0.9104	1.225e-17	1.39	0.7001	0.2791	93.77	86.52	PMS1
A0A3G9JPH8	H3BN59	0.9104	2.098e-22	1.08	0.5911	0.303	82.47	87.29	
A0A448L463	Q5FBZ1	0.9103	1.225e-17	1.44	0.7037	0.2792	94.97	86.52	PMS1
F0SEA5	G5EA19	0.9103	1.52e-14	2.06	0.7144	0.6225	95.05	97.13	TATDN1
A0A6B8MU63	Q96EN8	0.9103	3.423e-15	1.48	0.3768	0.8444	80.0	95.13	MOCOS
A0A3E3EC96	A0A7I2V2M5	0.9103	1.547e-28	1.65	0.4863	0.6545	81.89	85.92	DDX1
A0A858SQA6	Q6UW60	0.9103	4.191e-22	1.32	0.4028	0.5529	84.31	88.19	PCSK4
A0A4P7PX36	A0A7P0TAM5	0.9102	5.697e-23	1.83	0.6316	0.6162	80.1	89.35	ATAD1
Q2SG57	A0A5F9UKL4	0.9101	6.433e-38	1.18	0.6418	0.4548	78.84	76.0	ERCC6L2
A0A2T3FW44	B5BTY4	0.9101	1.888e-23	1.35	0.5296	0.6604	70.3	86.09	DDX3X
A0A1D7QWY7	A8K4D5	0.9101	0.0	2.68	0.6699	0.7993	95.65	95.52	KYNU
A0A2T4MZ46	Q96T67	0.9101	7.008e-22	1.61	0.3961	0.7298	79.65	90.76	
A0A4D7JUH4	B7Z801	0.9098	1.38e-23	1.78	0.6015	0.5514	84.39	88.62	
U4KRS2	Q59GS3	0.9098	2.512e-27	0.45	0.4069	0.322	77.79	85.68	
A0A1D7QWY7	Q53F63	0.9097	0.0	2.69	0.6701	0.7996	95.62	95.52	
A0A4P8XGJ0	A0A804HL79	0.9096	6.433e-38	1.11	0.6429	0.4696	77.49	73.83	ERCC6L2
A0A3G9JPH8	Q13206	0.9095	2.27e-33	1.33	0.4173	0.6893	70.68	87.29	DDX10
A0A2T3FW44	A0A2R8YCW1	0.9095	1.888e-23	1.42	0.5401	0.6584	71.08	86.09	DDX3X
Q82S43	Q7Z6Z6	0.9095	0.0	1.72	0.4598	0.6063	81.0	92.3	PNPLA5
A0A2T3FW44	A0A2R8YFS5	0.9094	1.888e-23	1.38	0.5293	0.6588	70.47	86.09	DDX3X
A0A2T7WAL3	B4DQK1	0.9093	2.889e-18	1.03	0.3682	0.5638	81.13	89.23	
A0A3G9JPH8	Q53FI9	0.9092	3.137e-22	0.84	0.5599	0.3936	71.09	87.29	
A0A3E3EC96	A0A7P0T9T8	0.9092	3.125e-32	1.12	0.4841	0.6758	62.15	85.92	DDX20
A0A2H4ZHC4	O75351	0.9092	4.345e-17	1.89	0.5289	0.7637	85.92	90.93	VPS4B
A0A7I7QV77	C9JX88	0.9091	5.692e-19	1.78	0.5467	0.7303	81.49	87.59	PSMC2
A0A822VZF9	A0A499FJS1	0.909	1.187e-24	1.29	0.7269	0.3785	77.52	80.58	MKNK1
A0A3E3EC96	F6S8Q4	0.909	1.888e-23	1.18	0.5241	0.6126	67.68	85.92	DDX3X
A0A6G7J7G5	A8K4G7	0.9089	4.345e-17	1.8	0.5277	0.7729	82.43	89.94	
A0A3G9JPH8	A0A2R8Y4A4	0.9089	1.888e-23	1.44	0.5266	0.6616	70.47	87.29	DDX3X
A0A3E3EC96	J3QL43	0.9088	1.427e-18	0.96	0.6527	0.3413	77.27	85.92	EIF4A1
A0A822VZF9	P24941	0.9088	4.889e-15	1.17	0.7856	0.3684	88.46	80.58	CDK2
A0A2T3FW44	B4DNG2	0.9088	8.919e-32	1.35	0.5601	0.5774	69.58	86.09	
A0A3E3EC96	A0A5H1ZRQ2	0.9087	2.541e-29	1.33	0.4828	0.652	69.58	85.92	DDX17
A0A0J8XNY7	A0A140VK42	0.9087	0.0	1.72	0.5593	0.6329	80.23	83.54	
G4T261	B4DPN5	0.9086	8.311e-24	1.3	0.8424	0.3767	76.12	74.69	
A0A3G9JPH8	A0A2U3TZJ9	0.9085	1.888e-23	1.45	0.5272	0.6615	70.2	87.29	DDX3X
A0A858SQA6	A1L3V6	0.9085	4.191e-22	1.31	0.4046	0.5543	81.39	88.19	PCSK1
A0A0Z8M843	B7ZA25	0.9084	1.495e-18	1.46	0.6629	0.3556	94.22	80.86	
D1PF82	P11908	0.9084	2.645e-14	0.43	0.3674	0.4829	95.31	80.31	PRPS2
A0A4D7JUH4	O75343	0.9084	4.6e-22	1.34	0.4156	0.5365	82.2	88.62	GUCY1B2
A0A4D7JUH4	B7Z685	0.9083	4.6e-22	1.42	0.4511	0.5236	82.99	88.62	GUCY1B1
R9RJ65	Q86SG6	0.9082	5.654e-24	1.03	0.4339	0.4509	84.92	80.14	NEK8
A0A0Z8M843	B4DLF9	0.9081	1.495e-18	1.48	0.6643	0.3562	94.39	80.86	
D1PF82	B2R860	0.908	2.645e-14	0.43	0.3666	0.4813	94.93	80.31	
A0A2T4MZ46	Q9NVI7	0.9079	7.008e-22	1.75	0.3929	0.7319	81.82	90.76	ATAD3A
A0A3E3EC96	Q59F66	0.9079	2.541e-29	1.34	0.4801	0.6534	68.82	85.92	
A0A220UM70	Q8N3Z3	0.9079	1.775e-18	1.45	0.5332	0.5315	84.93	86.29	GTPBP8
A0A0J8XNY7	A8K781	0.9078	0.0	1.85	0.5731	0.6264	83.39	83.54	
D1PF82	A0A140VK41	0.9078	2.645e-14	0.43	0.3643	0.483	94.7	80.31	
A0A0K2E484	A0A7I2V5J4	0.9077	6.915e-15	1.24	0.7183	0.3311	97.42	79.77	PRKACA
A0A3G9JPH8	A0A0A0MT12	0.9077	1.259e-12	0.72	0.7798	0.357	84.92	87.29	DDX39B
D1PF82	P21108	0.9077	2.645e-14	0.43	0.3661	0.481	94.6	80.31	PRPS1L1
A0A3E3EC96	E9PIF2	0.9077	2.27e-33	1.33	0.4365	0.6728	69.43	85.92	DDX10
A0A3G9JPH8	F6TRA5	0.9076	1.259e-12	0.72	0.7793	0.3618	84.52	87.29	DDX39B
A0A3G6K670	Q59HB6	0.9075	8.311e-24	1.09	0.6764	0.4079	75.56	76.92	
A0A1P8U854	A0A2R8Y726	0.9075	2.241e-20	1.21	0.4144	0.6404	79.82	81.14	SPG7
D1PF82	A0A0B4J207	0.9075	2.645e-14	0.42	0.3665	0.4816	94.11	80.31	PRPS1L1
A0A3G9JPH8	F6S4E6	0.9075	1.259e-12	0.73	0.7804	0.3506	85.34	87.29	DDX39B
A0A3G9JI25	E9PM69	0.9074	2.512e-27	1.84	0.6162	0.7212	77.61	80.46	PSMC3
Q2SG57	A0A590UJA1	0.9073	6.433e-38	1.17	0.6085	0.454	77.1	76.0	ERCC6L2
A0A0U4NK17	J3QLN6	0.9072	6.007e-14	1.45	0.8673	0.2179	94.81	90.56	EIF4A1
A0A3E3EC96	Q59EC7	0.9072	2.27e-33	1.32	0.4311	0.6725	68.82	85.92	
A0A553IIE0	Q71UM8	0.9071	1.195e-15	1.5	0.4556	0.7127	80.62	92.52	
A0A6G7J7G5	A8K5D8	0.9071	4.345e-17	1.86	0.5264	0.7703	82.65	89.94	
A0A8B3KKU7	P17980	0.907	0.0	1.78	0.5558	0.6288	80.62	83.63	PSMC3
K0VVY8	B4DJN9	0.907	0.0	1.75	0.633	0.5537	77.66	85.28	
A0A2T3FW44	Q59GX6	0.9069	1.888e-23	1.43	0.5189	0.658	69.44	86.09	
A0A7I7QV77	A0A140VK70	0.9069	5.692e-19	1.82	0.5438	0.7314	80.29	87.59	
R9RJ65	Q5SQQ7	0.9069	2.842e-22	1.24	0.686	0.3841	77.68	80.14	CAMK1D
A0A0K2E484	Q8IU85	0.9068	2.842e-22	1.14	0.6632	0.3983	75.7	79.77	CAMK1D
A0A250IWT1	O76071	0.9064	7.632e-18	1.07	0.8301	0.3814	96.66	53.22	CIAO1
A0A250IWT1	B2RDJ6	0.9064	7.632e-18	1.07	0.8296	0.3813	96.76	53.22	CIAO1
A0A3G9JPH8	Q59G92	0.9062	8.02e-16	0.8	0.6454	0.389	73.82	87.29	
A0A075TXM8	B7Z8H2	0.9061	7.887e-13	0.6	0.5767	0.4858	78.94	92.03	TRDMT1
R9RJ65	A8K0N1	0.9061	1.778e-18	1.18	0.6331	0.3596	85.5	80.14	
A0A518GBU2	B4DEY5	0.9061	3.17e-20	1.67	0.7561	0.3202	90.12	82.25	
A0A3G9JPH8	Q59FR7	0.906	1.68e-26	1.59	0.7543	0.3768	73.79	87.29	
A0A3E3EC96	Q9UHI6	0.9059	3.125e-32	1.12	0.4389	0.6687	61.34	85.92	DDX20
R9RJ65	Q9HBY8	0.9059	1.778e-18	1.25	0.6345	0.3602	86.99	80.14	SGK2
A0A1P8U854	J3KRF6	0.9059	6.299e-16	1.07	0.5905	0.5141	81.0	81.14	SPG7
L0L0B2	P22314	0.9058	1.717e-11	0.93	0.2124	0.8645	92.35	96.22	UBA1
A0A3E3EC96	Q9UJV9	0.9056	2.698e-31	1.83	0.5562	0.6424	77.93	85.92	DDX41
A0A7I7QV77	P35998	0.9056	5.692e-19	1.87	0.5435	0.7308	80.53	87.59	PSMC2
A0A3G9JPH8	A0A2R8Y645	0.9056	1.888e-23	1.34	0.4897	0.6643	65.27	87.29	DDX3X
A0A3E3EC96	Q8IYV2	0.9056	3.125e-32	1.13	0.4553	0.6916	58.59	85.92	DDX20
A0A3E3EC96	B7Z5N6	0.9055	2.698e-31	1.67	0.582	0.6153	71.98	85.92	
A0A858SQA6	A0A140VJQ9	0.9055	4.191e-22	1.46	0.4024	0.553	82.31	88.19	
L0L0B2	A0A024R1A3	0.9055	1.717e-11	0.93	0.2123	0.8641	92.01	96.22	
A0A5P2DAM4	Q9Y2C4	0.9055	3.245e-14	1.17	0.4975	0.6188	88.01	83.2	EXOG
G8X4N1	Q9HAP1	0.9054	1.198e-23	1.74	0.5278	0.4792	91.93	83.32	VCP
A0A822VZF9	F2Z3C8	0.9053	3.579e-15	1.24	0.7727	0.3476	87.38	80.58	SGK2
A0A5P2DAM4	B3KN09	0.9052	3.245e-14	1.17	0.4976	0.619	87.62	83.2	
A0A123SU34	A8K8B9	0.9052	6.915e-15	1.29	0.6684	0.3575	96.12	80.85	
A0A4D7JUH4	Q9NNW8	0.9052	4.979e-18	1.35	0.4559	0.5401	81.51	88.62	
A0A2H4ZHC4	A0A2R8Y4I8	0.9049	4.698e-23	1.76	0.4093	0.7618	73.95	90.93	SPAST
A0A822VZF9	I6L9I5	0.9048	4.889e-15	1.2	0.8477	0.3084	83.82	80.58	CDC2
F9P855	A0A7I2V2Y2	0.9047	1.371e-23	1.9	0.4818	0.5798	91.7	85.22	VCP
A0A2H4ZHC4	Q9UBP0	0.9046	5.953e-21	1.74	0.3888	0.7648	75.99	90.93	SPAST
K9VKA7	A0A140VJE6	0.9046	2.437e-22	0.86	0.2418	0.4515	81.93	88.1	
A0A5J5HTY5	Q9BVQ7	0.9046	5.437e-27	1.69	0.3148	0.7403	77.1	90.64	AFG2B
A0A3G9JPH8	A0A0D9SF53	0.9045	1.888e-23	1.41	0.4815	0.6675	66.2	87.29	DDX3X
A0A6B8RKD6	Q75ME3	0.9044	1.677e-13	0.34	0.5357	0.307	85.62	88.26	WBSCR22
A0A3T2HMK4	H0YNB5	0.9044	4.133e-17	1.74	0.7381	0.2274	97.38	89.15	FURIN
A0A250IWT1	A0A6Q8PG88	0.9044	2.574e-22	1.53	0.9014	0.3748	96.49	53.22	GNB4
A0A822VZF9	A0A7I2V4L1	0.9044	7.052e-19	1.3	0.6297	0.3634	85.34	80.58	MARK3
A0A3E3EC96	B4DYZ1	0.9043	2.698e-31	1.67	0.5109	0.6822	70.61	85.92	
I0AFM5	B7ZKN7	0.9043	6.874e-26	1.23	0.3855	0.5923	68.05	90.08	BLM
A0A2I5KM74	X6R8H3	0.9042	1.778e-18	1.23	0.6554	0.3661	81.57	80.99	SGK2
A0A2T3FW44	Q59H21	0.9042	5.357e-17	1.44	0.6216	0.6046	72.77	86.09	
A0A2H4ZHC4	E5KRP6	0.9042	4.698e-23	1.79	0.4085	0.7614	74.13	90.93	SPAST
A0A3G9JPH8	F1T0L5	0.9041	2.698e-31	1.75	0.5349	0.674	70.83	87.29	DDX51
A0A3E3EC96	Q8TDR3	0.9041	3.125e-32	1.12	0.4453	0.6769	57.91	85.92	DDX20
A0A250IWT1	B9EK65	0.904	7.632e-18	0.98	0.8822	0.3765	87.98	53.22	WDR38
G4T261	A0A590UJK0	0.904	6.433e-38	1.17	0.6396	0.4359	73.16	74.69	ERCC6L2
A0A3G9JPH8	B4DLU5	0.9039	1.888e-23	0.75	0.4315	0.4393	66.63	87.29	
A0A7M2Y6J8	B8ZZL5	0.9039	2.466e-18	0.69	0.5158	0.1508	86.92	85.92	MITD1
A0A2T4MZ46	K7EM02	0.9039	1.772e-12	1.04	0.8151	0.3805	81.22	90.76	KATNAL2
A0A1Q2CWK5	A0A7P0T8G7	0.9038	2.359e-21	2.32	0.6867	0.7462	81.87	89.43	DDX20
R9RJ65	Q8N7M6	0.9037	7.851e-32	1.54	0.6391	0.3687	83.39	80.14	
Z9JIC9	Q93075	0.9037	4.655e-20	1.45	0.3023	0.8697	59.02	96.65	TATDN2
A0A448L463	Q5XG96	0.9037	1.225e-17	1.3	0.6942	0.2373	85.28	86.52	PMS1
B0N6M2	Q5STU3	0.9036	2.532e-23	2.0	0.7325	0.5897	76.37	85.91	DDX39B
A0A181C511	Q8IYT4	0.9036	5.692e-19	1.65	0.4605	0.7693	71.9	88.32	KATNAL2
F9P855	O75449	0.9036	1.816e-20	1.46	0.4807	0.6168	75.03	85.22	KATNA1
L0L0B2	B3KNJ4	0.9035	9.099e-14	1.62	0.5588	0.6796	80.75	96.22	SAE1
Q9I3X2	B3KWY1	0.9035	8.445e-18	1.94	0.6868	0.5598	85.56	86.92	
A0A7Z2ZN36	C9JLX3	0.9035	8.748e-20	1.66	0.3639	0.6753	76.77	94.92	ADCY3
R9RJ65	B4DM54	0.9035	7.851e-32	1.44	0.6273	0.3773	80.06	80.14	
A0A250IWT1	B7ZW23	0.9034	7.632e-18	0.93	0.8724	0.3716	86.98	53.22	WDR38
R9RJ65	A8K341	0.9034	1.187e-24	1.39	0.6979	0.3766	75.63	80.14	
F9P855	Q9BW62	0.9033	1.816e-20	1.51	0.4794	0.6144	76.53	85.22	KATNAL1
A0A116MDM6	B4E2L0	0.9033	7.12e-18	1.26	0.5817	0.3577	88.28	80.78	
A0A1P8U854	Q9Y4W6	0.9032	2.241e-20	1.25	0.3649	0.6673	76.73	81.14	AFG3L2
A0A1X1TAW3	A0A6Q8PGT6	0.9031	5.114e-44	1.54	0.5741	0.4514	77.74	83.44	IGHMBP2
A0A0Z8M843	A0A024R7Q5	0.9031	2.836e-16	1.77	0.8208	0.3587	93.36	80.86	
G2LKY9	I6L957	0.9031	1.284e-15	0.2	0.2854	0.3431	80.17	93.14	HNRNPA2B1
A0A2Z2PM56	B3KTH1	0.9031	3.285e-21	0.94	0.4281	0.373	76.64	87.17	
A0A250IWT1	P63244	0.903	7.632e-18	1.2	0.8804	0.3784	92.44	53.22	RACK1
A0A3E3EC96	Q7L014	0.9029	1.194e-31	1.3	0.3478	0.6585	69.2	85.92	DDX46
A0A250IWT1	Q5JTN6	0.9029	7.632e-18	0.98	0.8742	0.3716	87.47	53.22	WDR38
A0A0E3QWB4	F5GXA0	0.9029	2.286e-22	0.66	0.4752	0.4427	67.86	80.53	SUMF1
A0A1P8U854	A0A2R8Y4Y7	0.9028	2.241e-20	1.2	0.3734	0.6526	75.21	81.14	SPG7
A0A822VZF9	A0A3B3IT40	0.9028	3.579e-15	1.31	0.7727	0.3429	86.47	80.58	SGK2
A0A2Z2PZ63	Q53HW5	0.9027	3.285e-21	0.87	0.4049	0.3814	74.51	88.14	
A0A3G9JPH8	K7EQN7	0.9026	1.259e-12	0.81	0.7509	0.3736	80.94	87.29	DDX39A
A0A822VZF9	E9PBE1	0.9026	1.495e-18	1.37	0.6758	0.3652	82.46	80.58	PRKCZ
A0A3W0CUD2	Q9UHY7	0.9025	2.682e-15	1.28	0.4792	0.316	95.36	91.18	ENOPH1
A0A250IWT1	Q9BRX9	0.9025	2.574e-22	1.47	0.8767	0.3784	93.33	53.22	WDR83
Z9JIC9	A8K179	0.9025	4.655e-20	1.36	0.303	0.8711	54.5	96.65	
A0A2H4ZHC4	E5KRP5	0.9025	4.698e-23	1.77	0.3883	0.7631	72.42	90.93	SPAST
B0SQF3	B3KXH5	0.9024	9.47e-19	1.58	0.3971	0.717	79.19	85.15	
K9VHX1	A0A804HKY6	0.9023	8.441e-45	2.21	0.7676	0.4896	86.26	84.8	SACS
A0A0E3QWB4	A0A494C1B1	0.9022	2.245e-16	1.14	0.6004	0.4061	83.45	80.53	SUMF2
A0A0E3QWB4	A8MXB9	0.9021	2.245e-16	1.34	0.6379	0.4059	86.63	80.53	SUMF2
A0A6A9GWD9	B7ZBU3	0.9021	1.027e-13	1.62	0.8007	0.4127	87.21	89.93	DDX59
A0A3E3EC96	Q9H8H2	0.902	2.698e-31	1.51	0.4365	0.684	66.97	85.92	DDX31
A0A0Z8M843	Q9BXA6	0.902	2.836e-16	1.82	0.8231	0.3602	93.46	80.86	TSSK6
A0A0K2E484	B4DK59	0.9019	7.851e-32	1.48	0.637	0.3398	81.43	79.77	
A0A7G1G9R9	E9PIP6	0.9019	0.0	0.34	0.6101	0.0417	61.68	93.13	PIWIL3
A0A2H4ZHC4	A0A2U3TZR0	0.9019	4.698e-23	1.79	0.3884	0.7616	72.5	90.93	SPAST
K9VHX1	A0A804HLL1	0.9019	8.441e-45	2.23	0.7619	0.5077	85.81	84.8	SACS
A0A0Z8M843	Q9HC98	0.9018	4.889e-15	1.34	0.7814	0.3803	83.22	80.86	NEK6
A0A127M5U3	Q59FC6	0.9018	1.721e-11	1.14	0.7275	0.6629	79.33	88.36	
A0A0C9N5F7	A0A059V6Y7	0.9018	1.126e-33	2.29	0.8066	0.3554	91.54	89.17	PIWIL2
A0A1B7ZBY1	B7Z9H9	0.9018	6.346e-21	1.42	0.474	0.4032	84.54	86.18	
G0J3Y0	B4E1P5	0.9017	2.662e-85	2.29	0.5203	0.6748	93.41	84.67	
Q2JGS4	Q96IF9	0.9016	3.313e-25	1.9	0.3652	0.7285	81.45	88.25	VCP
A0A7G5XK49	A0A7P0TAQ1	0.9016	5.315e-34	1.65	0.3417	0.6347	81.85	84.55	VCP
A0A0E3QWB4	C9J660	0.9015	2.245e-16	0.38	0.5004	0.3887	73.55	80.53	SUMF2
A0A250IWT1	A0A7I2V2J8	0.9015	7.632e-18	1.18	0.8758	0.342	92.67	53.22	PEX7
A0A3G9JPH8	Q8N8A6	0.9014	2.698e-31	1.9	0.5319	0.6695	73.54	87.29	DDX51
L0L0B2	Q9UBT2	0.9014	8.898e-11	0.93	0.3431	0.8681	85.26	96.22	UBA2
A0A0K1P5Q4	Q9BV39	0.9014	1.992e-13	2.03	0.5862	0.7705	93.11	91.06	
A0A2I5KM74	E7EUK8	0.9014	7.851e-32	1.6	0.6593	0.3529	81.27	80.99	CDK14
A0A181C511	Q9HAP0	0.9013	4.107e-17	1.9	0.6155	0.6137	82.6	88.32	VCP
R9RJ65	B7Z7K5	0.9012	1.495e-18	1.41	0.6741	0.3645	82.47	80.14	
A0A250IWT1	E9KL35	0.9012	7.632e-18	1.17	0.8805	0.3785	89.19	53.22	
A0A2T4MZ46	Q6PIW4	0.9011	2.233e-27	1.65	0.3528	0.7502	67.49	90.76	FIGNL1
F0SEA5	U3KQS5	0.901	1.52e-14	2.29	0.7076	0.624	93.39	97.13	TATDN1
A0A7U3SQ39	Q02846	0.901	1.295e-17	1.37	0.1682	0.6801	82.01	93.91	GUCY2D
A0A3E3EC96	A8K6X3	0.9008	1.194e-31	1.28	0.3478	0.6583	65.78	85.92	
K9VHX1	A0A804HL98	0.9008	8.441e-45	2.17	0.7493	0.4953	83.32	84.8	SACS
A0A2S4HYC0	C9J9E4	0.9006	2.822e-15	0.93	0.7839	0.1148	88.96	78.86	SMC4
A0A7U9HC83	B4DQJ4	0.9005	8.203e-24	1.78	0.4084	0.7523	69.01	90.89	
A0A1B7ZBY1	E9PCN2	0.9003	6.346e-21	1.15	0.4067	0.3995	79.4	86.18	GUCY1B1
A0A4Y6RC84	Q86WJ1	0.9001	6.492e-20	1.04	0.5525	0.4037	73.19	80.52	CHD1L
A0A1P8U854	Q9UQ90	0.9001	2.241e-20	1.24	0.3538	0.6528	73.99	81.14	SPG7
A0A3E3EC96	A0A0C4DG89	0.9	1.194e-31	1.31	0.347	0.6572	65.71	85.92	DDX46
F9P855	B3KUK7	0.9	1.816e-20	1.56	0.4824	0.6183	73.33	85.22	KATNA1
A0A2I5KM74	D6R938	0.9	3.921e-26	1.5	0.5315	0.4084	82.06	80.99	CAMK2D
S0GIC5	P41247	0.8999	2.691e-13	1.99	0.7545	0.5851	94.42	88.14	PNPLA4
A0A1P8U854	Q8TA92	0.8999	2.241e-20	1.3	0.3548	0.6623	74.73	81.14	
K9VKA7	P16066	0.8997	2.437e-22	1.24	0.2453	0.4567	84.61	88.1	NPR1
K9VHX1	A0A804HIG5	0.8997	8.441e-45	2.26	0.7602	0.491	85.55	84.8	SACS
F9P855	B2RDY3	0.8997	1.816e-20	1.58	0.4843	0.6205	73.25	85.22	KATNAL1
B9JPH6	A8K359	0.8995	3.285e-21	0.93	0.3887	0.3657	74.15	87.75	
A0A250IWT1	E7EP32	0.8994	1.592e-17	1.5	0.9142	0.3695	95.89	53.22	GNB2
R9RJ65	Q8IY84	0.8994	1.131e-17	1.13	0.5468	0.366	82.36	80.14	NIM1K
A0A3V4SMW8	A0A6Q8PGU6	0.8994	9.601e-26	1.54	0.2618	0.7535	70.13	88.57	AFG2A
A0A822VZF9	Q5SWX3	0.8994	3.921e-26	1.46	0.5232	0.4142	80.44	80.58	CAMK2G
A0A3E3EC96	B3KX23	0.8993	1.058e-27	1.58	0.5036	0.6291	65.44	85.92	
A0A220UM70	C9J0K3	0.8993	1.164e-12	1.48	0.7844	0.3966	91.79	86.29	GTPBP8
R9RJ65	P00540	0.8993	1.358e-16	1.21	0.6616	0.3577	80.36	80.14	MOS
A0A250IWT1	D6RFX4	0.8992	1.486e-16	0.83	0.906	0.2393	89.21	53.22	RACK1
A0A3E5G8Z5	Q9NSU2	0.8991	2.973e-13	1.71	0.4818	0.8028	80.23	94.31	TREX1
L0L0B2	B2RDF5	0.8991	8.898e-11	0.9	0.343	0.8677	81.56	96.22	
A0A2X1XYZ4	Q5TZT0	0.899	6.258e-12	1.42	0.5068	0.83	78.7	92.78	TREX1
E0TDM5	A0A0A1EMC4	0.8989	4.793e-38	2.37	0.4939	0.724	89.22	87.58	
A0A822VZF9	P06493	0.8988	6.976e-13	1.22	0.7843	0.3668	89.34	80.58	CDK1
A0A4U8Z5F9	A0A494C1P7	0.8988	4.115e-21	1.56	0.5495	0.5905	74.21	79.27	CHD1L
A0A250IWT1	H0Y811	0.8988	4.57e-24	1.19	0.8686	0.3065	84.13	53.22	SPAG16
A0A250IWT1	B7ZW24	0.8988	7.632e-18	0.91	0.864	0.3563	81.95	53.22	WDR38
K9VHX1	A0A804HHS6	0.8987	8.441e-45	2.29	0.7622	0.4921	85.43	84.8	SACS
A0A5J5HTY5	Q8NB90	0.8986	9.601e-26	1.71	0.2674	0.748	72.91	90.64	AFG2A
A0A6G7VQR1	A0A1W2PP74	0.8986	0.0	2.73	0.6319	0.6805	94.45	94.67	GLDC
K9VHX1	A0A804HK57	0.8985	8.441e-45	2.28	0.7607	0.4972	84.44	84.8	SACS
O28951	Q9HCK5	0.8985	1.766e-19	2.43	0.4308	0.8273	91.17	92.65	AGO4
A0A448L463	Q7KZT4	0.8985	1.225e-17	1.33	0.6913	0.2353	79.59	86.52	
A0A4D7JUH4	Q8NBM1	0.8985	1.28e-13	1.41	0.6591	0.5345	78.74	88.62	
G4T261	A0A494C0F0	0.8985	1.336e-16	1.46	0.8572	0.2666	85.21	74.69	CHD1L
K9VHX1	A0A804HIU0	0.8984	8.441e-45	2.31	0.7543	0.5082	85.34	84.8	SACS
G8X4N1	A8K7S5	0.8984	5.231e-23	1.8	0.5055	0.705	71.77	83.32	KATNA1
A0A0K1P5Q4	Q8TBA1	0.8984	1.992e-13	2.1	0.6507	0.7708	87.85	91.06	
A0A1P8U854	A0A2U3TZH1	0.8983	2.241e-20	1.17	0.3414	0.6249	72.31	81.14	SPG7
A0A822VZF9	B3KUN5	0.8983	5.65e-18	1.22	0.5647	0.3611	81.34	80.58	
A0A1P8U854	A0A2R8YFW4	0.8982	2.241e-20	1.27	0.3626	0.6557	71.54	81.14	SPG7
A0A5J5HTY5	O15381	0.8982	4.32e-18	1.53	0.283	0.7592	72.53	90.64	NVL
F6BIK3	F8WCT9	0.8982	1.644e-39	1.8	0.7896	0.3804	80.42	73.91	ZRANB3
K9VHX1	A0A804HLK7	0.8981	8.441e-45	2.32	0.7663	0.4957	85.46	84.8	SACS
A0A2T4MZ46	B3KNH6	0.8981	2.233e-27	1.65	0.3517	0.7478	63.8	90.76	
A0A0Z8HCP9	Q00526	0.898	4.889e-15	1.51	0.7633	0.3674	86.13	80.32	CDK3
A0A0E3P3N4	Q3MIP1	0.898	3.824e-20	2.26	0.5073	0.7935	79.19	91.79	ITPRIPL2
A0A3G9JPH8	B4DYP6	0.898	1.187e-13	0.77	0.765	0.2038	77.18	87.29	
L0L0B2	B3KMZ6	0.8978	8.898e-11	0.91	0.3397	0.8571	80.95	96.22	
A0A1Y0II42	F8VRX4	0.8977	6.007e-14	1.6	0.8215	0.2526	91.76	86.65	DDX54
A0A3G9JPH8	Q9BUQ8	0.8977	1.91e-35	1.94	0.4266	0.6572	77.65	87.29	DDX23
A0A7G9WGN0	B3KS29	0.8976	1.603e-31	1.51	0.5154	0.4031	76.14	84.32	
A0A4Y1WP74	Q9H9G7	0.8976	6.165e-36	2.28	0.4139	0.6849	91.49	87.22	AGO3
A0A517ZL33	O75716	0.8976	1.103e-13	1.45	0.7718	0.4196	93.08	74.1	STK16
A0A2T3FW44	F5H5U2	0.8975	1.741e-30	2.11	0.5691	0.6127	79.66	86.09	DDX55
G2LKY9	A0A087WUI2	0.8975	3.35e-14	0.23	0.2739	0.3425	80.56	93.14	HNRNPA2B1
A0A0U4NK17	J3KS25	0.8975	6.007e-14	1.44	0.7446	0.2105	90.29	90.56	EIF4A1
A0A7Z2ZN36	P25092	0.8974	1.295e-17	1.5	0.1723	0.6807	80.01	94.92	GUCY2C
A0A517ZL33	P0C264	0.8974	2.791e-17	1.49	0.6639	0.4231	85.82	74.1	SBK3
A0A518G7R2	Q6ZQY3	0.8974	2.028e-22	2.74	0.5982	0.7681	94.56	93.7	GADL1
A0A2K8K7Y7	Q9Y276	0.8974	2.446e-22	0.84	0.3182	0.2095	86.96	83.99	BCS1L
