accession_in_sys	type	subtype	species	sys_id	sys_beg	sys_end	duplicate_count	rank	defense_system_protein_id	defense_system_cluster_id	cluster_id	protein_id	evalue	cluFlag	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue_foldseek	bits	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)	Proteomes	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	CDD	FunFam	Gene3D	InterPro	PANTHER	Pfam	PROSITE	SMART	RefSeq	Query_range	Query_length	Human_prot_total_length	Human_prot_domain_match	Human_domain_percentage	Query_percentage	Query_overlap_w_Human_protein	Human_domain_note	Human_domain_evidence	Target_range	Target_length	Bacterial_prot_total_length	Bacterial_prot_domain_match	Bacterial_domain_percentage	Target_percentage	Target_overlap_w_Bacterial_protein	Bacterial_domain_note	Bacterial_domain_evidence	Bacterial_Human_Len_Ratio	Query_Target_Overlap_Length	Overlap_ratio
WP_063110969.1	GasderMIN	GasderMIN	Methylorubrum populi	GCF_002355515_NZ_AP014809_GasderMIN_1	GCF_002355515.1_NZ_AP014809_02772	GCF_002355515.1_NZ_AP014809_02772	1	202	A0A160PE62	A0A2V2RJT9	A0A6I4AZW5	E6Y8C6	0.0002216	1	0.099	146	99	0	92	237	69	179	0.3544	10	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		92.0..237.0	146	555	27..375	41.83	100.00	26.31	['MACPF']	['ECO:0000259|PROSITE:PS51412']	69.0..179.0	111	286							0.515315315	111	0.388111888
WP_063110969.1	GasderMIN	GasderMIN	Methylorubrum populi	GCF_002355515_NZ_AP014809_GasderMIN_1	GCF_002355515.1_NZ_AP014809_02772	GCF_002355515.1_NZ_AP014809_02772	1	202	A0A160PE62	A0A2V2RJT9	A0A6I4AZW5	P14222	0.0002216	1	0.088	146	100	0	92	237	69	179	0.2995	11	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	92.0..237.0	146	555	27..375	41.83	100.00	26.31	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	69.0..179.0	111	286							0.515315315	111	0.388111888
WP_142775046.1	GasderMIN	GasderMIN	Spirosoma sp. KCTC 42546	GCF_006965485_NZ_CP041360_GasderMIN_1	GCF_006965485.1_NZ_CP041360_05397	GCF_006965485.1_NZ_CP041360_05397	1	202	A0A515A5B6	A0A2V2RJT9	A0A6I4AZW5	E6Y8C6	0.0002216	1	0.072	214	148	0	35	248	25	184	0.3475	9	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		35.0..248.0	214	555	27..375	61.32	100.00	38.56	['MACPF']	['ECO:0000259|PROSITE:PS51412']	25.0..184.0	160	269							0.484684685	160	0.594795539
WP_142775046.1	GasderMIN	GasderMIN	Spirosoma sp. KCTC 42546	GCF_006965485_NZ_CP041360_GasderMIN_1	GCF_006965485.1_NZ_CP041360_05397	GCF_006965485.1_NZ_CP041360_05397	1	202	A0A515A5B6	A0A2V2RJT9	A0A6I4AZW5	P14222	0.0002216	1	0.084	214	146	0	35	248	25	184	0.2937	9	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	35.0..248.0	214	555	27..375	61.32	100.00	38.56	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	25.0..184.0	160	269							0.484684685	160	0.594795539
WP_182458775.1	GasderMIN	GasderMIN	Spirosoma foliorum	GCF_014117325_NZ_CP059732_GasderMIN_3	GCF_014117325.1_NZ_CP059732_05320	GCF_014117325.1_NZ_CP059732_05320	1	202	A0A7G5GRK1	A0A2V2RJT9	A0A6I4AZW5	E6Y8C6	0.0002216	1	0.066	194	145	0	45	238	16	171	0.7337	7	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		45.0..238.0	194	555	27..375	55.59	100.00	34.95	['MACPF']	['ECO:0000259|PROSITE:PS51412']	16.0..171.0	156	267							0.481081081	156	0.584269663
WP_182458775.1	GasderMIN	GasderMIN	Spirosoma foliorum	GCF_014117325_NZ_CP059732_GasderMIN_3	GCF_014117325.1_NZ_CP059732_05320	GCF_014117325.1_NZ_CP059732_05320	1	202	A0A7G5GRK1	A0A2V2RJT9	A0A6I4AZW5	P14222	0.0002216	1	0.063	194	145	0	45	238	16	171	1.074	5	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	45.0..238.0	194	555	27..375	55.59	100.00	34.95	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	16.0..171.0	156	267							0.481081081	156	0.584269663
WP_118501225.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_1	GCF_003443715.1_NZ_CP031965_00745	GCF_003443715.1_NZ_CP031965_00745	1	202	A0A3A9VHL1	A0A4Q1CFA1	A0A3B4WVX2	A0A2R8Y564	0.0002487	3	0.138	262	217	0	8	260	7	268	0.000000148	159	unreviewed	A0A2R8Y564_HUMAN	Pejvakin	PJVK	Homo sapiens (Human)			PJVK		UP000005640: Chromosome 2	programmed cell death [GO:0012501]	endomembrane system [GO:0012505]	endomembrane system [GO:0012505]; programmed cell death [GO:0012501]		GO:0012501; GO:0012505				"IPR040460; Gasdermin_pore.;""IPR042377; GSDME."";"	"PTHR15207; NONSYNDROMIC HEARING IMPAIRMENT PROTEIN; 1.;""PTHR15207:SF2; PEJVAKIN; 1."";"	PF04598; Gasdermin; 1.;				8.0..260.0	253	300	1..223	96.86	85.38	84.33	['Gasdermin pore forming']	['ECO:0000259|Pfam:PF04598']	7.0..268.0	262	276							0.92	253	0.916666667
WP_118501225.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_1	GCF_003443715.1_NZ_CP031965_00745	GCF_003443715.1_NZ_CP031965_00745	1	202	A0A3A9VHL1	A0A4Q1CFA1	A0A3B4WVX2	E9PIB2	0.0002487	1	0.114	230	197	0	23	245	7	236	0.000002634	130	unreviewed	E9PIB2_HUMAN	Gasdermin D	GSDMD	Homo sapiens (Human)			GSDMD		UP000005640: Chromosome 8		endomembrane system [GO:0012505]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	endomembrane system [GO:0012505]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]		GO:0005654; GO:0005886; GO:0012505				"IPR007677; Gasdermin.;""IPR040460; Gasdermin_pore."";"	"PTHR16399; GASDERMIN; 1.;""PTHR16399:SF15; GASDERMIN-D; 1."";"	PF04598; Gasdermin; 1.;				23.0..245.0	223	277	20..258	93.31	100.00	80.51	['Gasdermin pore forming']	['ECO:0000259|Pfam:PF04598']	7.0..236.0	230	276							0.996389892	223	0.807971014
WP_118501225.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_1	GCF_003443715.1_NZ_CP031965_00745	GCF_003443715.1_NZ_CP031965_00745	1	202	A0A3A9VHL1	A0A4Q1CFA1	G3VTC1	C9JSR4	0.0002781	2	0.131	256	216	0	8	256	10	265	3.341E-07	142	unreviewed	C9JSR4_HUMAN	Gasdermin E	GSDME	Homo sapiens (Human)			GSDME		UP000005640: Chromosome 7	programmed cell death [GO:0012501]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; programmed cell death [GO:0012501]		GO:0005737; GO:0005886; GO:0012501				"IPR040460; Gasdermin_pore.;""IPR041263; Gasdermin_PUB."";""IPR042377; GSDME."";"	"PTHR15207:SF1; GASDERMIN-E; 1.;""PTHR15207; NONSYNDROMIC HEARING IMPAIRMENT PROTEIN; 1."";"	"PF04598; Gasdermin; 1.;""PF17708; Gasdermin_C; 1."";"				8.0..256.0	249	356	1..246	97.15	95.98	69.94	['Gasdermin pore forming']	['ECO:0000259|Pfam:PF04598']	10.0..265.0	256	276							0.775280899	249	0.902173913
WP_118501225.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_1	GCF_003443715.1_NZ_CP031965_00745	GCF_003443715.1_NZ_CP031965_00745	1	202	A0A3A9VHL1	A0A4Q1CFA1	H2YAV0	Q8N5U0	0.000435	1	0.117	231	169	0	21	212	7	237	7.982E-07	140	reviewed	CK042_HUMAN	Uncharacterized protein C11orf42	C11orf42	Homo sapiens (Human)			C11orf42		UP000005640: Chromosome 11		sperm flagellum [GO:0036126]	sperm flagellum [GO:0036126]		GO:0036126				IPR031366; DUF4663.;	"PTHR36872; GENE 5901-RELATED; 1.;""PTHR36872:SF1; GENE 5901-RELATED; 1."";"	PF15668; DUF4663; 1.;			NP_775796.2; NM_173525.3.;	21.0..212.0	192	333							7.0..237.0	231	276							0.828828829	192	0.695652174
WP_063110969.1	GasderMIN	GasderMIN	Methylorubrum populi	GCF_002355515_NZ_AP014809_GasderMIN_1	GCF_002355515.1_NZ_AP014809_02772	GCF_002355515.1_NZ_AP014809_02772	1	202	A0A160PE62	A0A2V2RJT9	H2YAV0	Q8N5U0	0.001086	1	0.102	252	187	0	47	255	35	286	0.000003593	107	reviewed	CK042_HUMAN	Uncharacterized protein C11orf42	C11orf42	Homo sapiens (Human)			C11orf42		UP000005640: Chromosome 11		sperm flagellum [GO:0036126]	sperm flagellum [GO:0036126]		GO:0036126				IPR031366; DUF4663.;	"PTHR36872; GENE 5901-RELATED; 1.;""PTHR36872:SF1; GENE 5901-RELATED; 1."";"	PF15668; DUF4663; 1.;			NP_775796.2; NM_173525.3.;	47.0..255.0	209	333							35.0..286.0	252	286							0.858858859	209	0.730769231
WP_142775046.1	GasderMIN	GasderMIN	Spirosoma sp. KCTC 42546	GCF_006965485_NZ_CP041360_GasderMIN_1	GCF_006965485.1_NZ_CP041360_05397	GCF_006965485.1_NZ_CP041360_05397	1	202	A0A515A5B6	A0A2V2RJT9	H2YAV0	Q8N5U0	0.001086	1	0.119	257	200	0	19	246	12	268	4.309E-07	143	reviewed	CK042_HUMAN	Uncharacterized protein C11orf42	C11orf42	Homo sapiens (Human)			C11orf42		UP000005640: Chromosome 11		sperm flagellum [GO:0036126]	sperm flagellum [GO:0036126]		GO:0036126				IPR031366; DUF4663.;	"PTHR36872; GENE 5901-RELATED; 1.;""PTHR36872:SF1; GENE 5901-RELATED; 1."";"	PF15668; DUF4663; 1.;			NP_775796.2; NM_173525.3.;	19.0..246.0	228	333							12.0..268.0	257	269							0.807807808	228	0.847583643
WP_182458775.1	GasderMIN	GasderMIN	Spirosoma foliorum	GCF_014117325_NZ_CP059732_GasderMIN_3	GCF_014117325.1_NZ_CP059732_05320	GCF_014117325.1_NZ_CP059732_05320	1	202	A0A7G5GRK1	A0A2V2RJT9	H2YAV0	Q8N5U0	0.001086	1	0.09	256	202	0	19	241	2	257	0.000001229	112	reviewed	CK042_HUMAN	Uncharacterized protein C11orf42	C11orf42	Homo sapiens (Human)			C11orf42		UP000005640: Chromosome 11		sperm flagellum [GO:0036126]	sperm flagellum [GO:0036126]		GO:0036126				IPR031366; DUF4663.;	"PTHR36872; GENE 5901-RELATED; 1.;""PTHR36872:SF1; GENE 5901-RELATED; 1."";"	PF15668; DUF4663; 1.;			NP_775796.2; NM_173525.3.;	19.0..241.0	223	333							2.0..257.0	256	267							0.801801802	223	0.835205993
WP_014444130.1	GasderMIN	GasderMIN	Actinoplanes missouriensis	GCF_000284295_NC_017093_GasderMIN_1	GCF_000284295.1_NC_017093_04052	GCF_000284295.1_NC_017093_04052	1	202	I0H899	A0A2N2MYY3	A0A3B4WVX2	A0A2R8Y564	0.001921	3	0.104	221	189	0	13	224	11	231	0.000005162	116	unreviewed	A0A2R8Y564_HUMAN	Pejvakin	PJVK	Homo sapiens (Human)			PJVK		UP000005640: Chromosome 2	programmed cell death [GO:0012501]	endomembrane system [GO:0012505]	endomembrane system [GO:0012505]; programmed cell death [GO:0012501]		GO:0012501; GO:0012505				"IPR040460; Gasdermin_pore.;""IPR042377; GSDME."";"	"PTHR15207; NONSYNDROMIC HEARING IMPAIRMENT PROTEIN; 1.;""PTHR15207:SF2; PEJVAKIN; 1."";"	PF04598; Gasdermin; 1.;				13.0..224.0	212	300	1..223	94.62	99.53	70.67	['Gasdermin pore forming']	['ECO:0000259|Pfam:PF04598']	11.0..231.0	221	264							0.88	212	0.803030303
WP_014444130.1	GasderMIN	GasderMIN	Actinoplanes missouriensis	GCF_000284295_NC_017093_GasderMIN_1	GCF_000284295.1_NC_017093_04052	GCF_000284295.1_NC_017093_04052	1	202	I0H899	A0A2N2MYY3	A0A3B4WVX2	E9PIB2	0.001921	1	0.195	250	194	0	36	277	15	264	8.976E-09	180	unreviewed	E9PIB2_HUMAN	Gasdermin D	GSDMD	Homo sapiens (Human)			GSDMD		UP000005640: Chromosome 8		endomembrane system [GO:0012505]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]	endomembrane system [GO:0012505]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]		GO:0005654; GO:0005886; GO:0012505				"IPR007677; Gasdermin.;""IPR040460; Gasdermin_pore."";"	"PTHR16399; GASDERMIN; 1.;""PTHR16399:SF15; GASDERMIN-D; 1."";"	PF04598; Gasdermin; 1.;				36.0..277.0	242	277	20..258	93.31	92.15	87.36	['Gasdermin pore forming']	['ECO:0000259|Pfam:PF04598']	15.0..264.0	250	264							0.953068592	242	0.916666667
